id,youtube_id,title,comments,description,duration,event,film_date,languages,main_speaker,published_date,speaker_occupation,url,views
57,W7raJeMpyM0,The era of open innovation,91,"In this deceptively casual talk, Charles Leadbeater weaves a tight argument  that innovation isn't just for professionals anymore. Passionate amateurs, using new tools, are creating products and paradigms that companies can't.",1141,TEDGlobal 2005,1121299200,24,Charles Leadbeater,1170202260,Innovation consultant,https://www.ted.com/talks/charles_leadbeater_on_innovation,1409327
59,KR8SwPmCFd4,Four American characters,111,"Writer and actor Anna Deavere Smith gives life to author Studs Terkel, convict Paulette Jenkins, a Korean shopkeeper and a bull rider, excerpts from her solo show \"On the Road: A Search for American Character.\"",1385,TED2005,1109289600,19,Anna Deavere Smith,1170979860,"Actor, playwright, social critic",https://www.ted.com/talks/anna_deavere_smith_s_american_character,978825
63,ft24bHtNJwY,My wish: Rebuilding Rwanda,97,"Accepting the 2007 TED Prize, Bill Clinton asks for help in bringing health care to Rwanda -- and the rest of the world.",1447,TED2007,1173312000,26,Bill Clinton,1175559060,Activist,https://www.ted.com/talks/bill_clinton_on_rebuilding_rwanda,849859
66,51z7WRDjOjM,What separates us from chimpanzees?,161,"Jane Goodall hasn't found the missing link, but she's come closer than nearly anyone else. The primatologist says the only real difference between humans and chimps is our sophisticated language. She urges us to start using it to change the world.",1645,TED2002,1014940800,31,Jane Goodall,1175731860,Primatologist; environmentalist,https://www.ted.com/talks/jane_goodall_on_what_separates_us_from_the_apes,1663001
67,xBIVlM435Zg,How to get your ideas to spread,220,"In a world of too many options and too little time, our obvious choice is to just ignore the ordinary stuff. Marketing guru Seth Godin spells out why, when it comes to getting our attention, bad or bizarre ideas are more successful than boring ones.",1021,TED2003,1046304000,31,Seth Godin,1175731860,Marketer and author,https://www.ted.com/talks/seth_godin_on_sliced_bread,5570544
68,2HgL5OFip-0,How we discovered DNA,114,"Nobel laureate James Watson opens TED2005 with the frank and funny story of how he and his research partner, Francis Crick, discovered the structure of DNA.",1211,TED2005,1107302400,28,James Watson,1175731860,"Biologist, Nobel laureate",https://www.ted.com/talks/james_watson_on_how_he_discovered_dna,1520908
71,5KdOPY1Iqiw,The life code that will reshape the future,49,"Scientific discoveries, futurist Juan Enriquez notes, demand a shift in code, and our ability to thrive depends on our mastery of that code. Here, he applies this notion to the field of genomics.",1340,TED2003,1044144000,20,Juan Enriquez,1175731860,Futurist,https://www.ted.com/talks/juan_enriquez_on_genomics_and_our_future,690928
72,eZp-H9g_jeY,Happiness by design,86,Graphic designer Stefan Sagmeister takes the audience on a whimsical journey through moments of his life that made him happy -- and notes how many of these moments have to do with good design.,930,TED2004,1075680000,26,Stefan Sagmeister,1175731860,Graphic designer,https://www.ted.com/talks/stefan_sagmeister_shares_happy_design,1762302
73,zjcX8tr7Eo4,The route to a sustainable future,107,"Worldchanging.com founder Alex Steffen argues that reducing humanity’s ecological footprint is incredibly vital now, as the western consumer lifestyle spreads to developing countries.",1054,TEDGlobal 2005,1120694400,32,Alex Steffen,1175731860,Planetary futurist,https://www.ted.com/talks/alex_steffen_sees_a_sustainable_future,1392010
74,7-onVz1D_uc,How architecture can connect us,50,"Architect Thom Mayne has never been one to take the easy option, and this whistle-stop tour of the buildings he's created makes you glad for it. These are big ideas cast in material form.",1240,TED2005,1109289600,16,Thom Mayne,1175731860,Architect,https://www.ted.com/talks/thom_mayne_on_architecture_as_connection,660909
75,teV6Oa6mVPE,Great cars are great art,78,"American designer Chris Bangle explains his philosophy that car design is an art form in its own right, with an entertaining -- and ultimately moving -- account of the BMW Group's Deep Blue project, intended to create the SUV of the future.",1204,TED2002,1012608000,23,Chris Bangle,1175731860,Car designer,https://www.ted.com/talks/chris_bangle_says_great_cars_are_art,867495
76,FvAl7Sjddok,"Singing \"What I Want\"",40,"Nora York gives a stunning performance of her song \"What I Want,\" with Jamie Lawrence (keyboards), Steve Tarshis (guitar) and Arthur Kell (bass).",276,TEDSalon 2006,1166054400,28,Nora York,1175731860,"Singer, performance artist",https://www.ted.com/talks/nora_york_sings_what_i_want,395769
77,7g0O003kufA,Design is in the details,27,"Showing a series of inspiring, unusual and playful products, British branding and design guru Paul Bennett explains that design doesn't have to be about grand gestures, but can solve small, universal and overlooked problems.",850,TEDGlobal 2005,1121299200,24,Paul Bennett,1175731860,"Designer; creative director, Ideo",https://www.ted.com/talks/paul_bennett_finds_design_in_the_details,761930
78,ik9x-eu49_c,"Art with wire, sugar, chocolate and string",84,"Vik Muniz makes art from pretty much anything, be it shredded paper, wire, clouds or diamonds. Here he describes the thinking behind his work and takes us on a tour of his incredible images.",891,TED2003,1046304000,23,Vik Muniz,1175731860,Artist,https://www.ted.com/talks/vik_muniz_makes_art_with_wire_sugar,1149090
83,a8nDJaH-fVE,The gentle genius of bonobos,335,"Savage-Rumbaugh's work with bonobo apes, which can understand spoken language and learn tasks by watching, forces the audience to rethink how much of what a species can do is determined by biology -- and how much by cultural exposure.",1045,TED2004,1075680000,28,Susan Savage-Rumbaugh,1175731860,Primate authority,https://www.ted.com/talks/susan_savage_rumbaugh_on_apes_that_write,2197377
84,85LGttCxmqk,The story of life in photographs,143,"In this stunning slideshow, celebrated nature photographer Frans Lanting presents The LIFE Project, a poetic collection of photographs that tell the story of our planet, from its eruptive beginnings to its present diversity. Soundtrack by Philip Glass.",977,TED2005,1107302400,30,Frans Lanting,1175731860,Nature photographer,https://www.ted.com/talks/frans_lanting_s_lyrical_nature_photos,1697185
