yt_id,channel_id,channel_title,published_at,url,title,description,duration_seconds,views,language,thumbnail,likes,comment_count
UoTdaQiCBf4,UCC0Eg0d1gGkpChelGo4-b4g,Leibniz Universität Hannover,2011-06-28T10:41:33Z,https://www.youtube.com/watch?v=UoTdaQiCBf4,Die Wellenjäger 2 - Gedehnt und gestaucht,"Nach Albert Einstein verhält sich die Raumzeit wie eine dehnbare Netzstruktur. Schwere Massen dehnen diese Struktur. Bewegen sich diese, wackelt das Netz der Raumzeit.

According to Albert Einstein, the fabric of time and space behaves like an elasticated mesh. Heavy masses stretch the mesh, and if they move, the space-time mesh vibrates.",228,692,unknown,https://i.ytimg.com/vi/UoTdaQiCBf4/hqdefault.jpg,0,0
9BwlO4krTNo,UCC0Eg0d1gGkpChelGo4-b4g,Leibniz Universität Hannover,2011-06-28T08:52:17Z,https://www.youtube.com/watch?v=9BwlO4krTNo,Die Wellenjäger 1 - Einstein weiter denken,"Wissenschaftler finden heraus, wie mit Hilfe von Laserlicht das Universum erforscht werden kann. Das Problem und die Lösung zugleich ist die Quantenphysik!

According to Albert Einstein, space-time behaves like an elastic mesh structure. The distortion of this mesh by massive objects, such as stars or planets, is what we refer to as gravitation.",247,1304,unknown,https://i.ytimg.com/vi/9BwlO4krTNo/hqdefault.jpg,0,0
Ok82LIo8Dmc,UCC0Eg0d1gGkpChelGo4-b4g,Leibniz Universität Hannover,2011-06-27T07:31:35Z,https://www.youtube.com/watch?v=Ok82LIo8Dmc,EdW 17: Wie misst man die Höhe eines Gebäudes? (Leibniz Universität Hannover),Das Experiment der Woche an der Leibniz Universität Hannover:  Wie misst man die Höhe eines Gebäudes?,225,4263,unknown,https://i.ytimg.com/vi/Ok82LIo8Dmc/hqdefault.jpg,12,0
9xxIjJiWWjM,UCC0Eg0d1gGkpChelGo4-b4g,Leibniz Universität Hannover,2011-06-20T07:35:06Z,https://www.youtube.com/watch?v=9xxIjJiWWjM,EdW 16: Was ist Chaos? (Leibniz Universität Hannover),Das Experiment der Woche an der Leibniz Universität Hannover: Was ist Chaos?,162,1992,unknown,https://i.ytimg.com/vi/9xxIjJiWWjM/hqdefault.jpg,21,2
WvW9sWGhbJk,UCC0Eg0d1gGkpChelGo4-b4g,Leibniz Universität Hannover,2011-06-14T07:49:52Z,https://www.youtube.com/watch?v=WvW9sWGhbJk,EdW 15: Was kann man an Beton besser machen? (Leibniz Universität Hannover),Das Experiment der Woche an der Leibniz Universität Hannover: Was kann man an Beton besser machen?,230,32620,unknown,https://i.ytimg.com/vi/WvW9sWGhbJk/hqdefault.jpg,102,1
CEK7K978qig,UCC0Eg0d1gGkpChelGo4-b4g,Leibniz Universität Hannover,2011-06-06T07:13:21Z,https://www.youtube.com/watch?v=CEK7K978qig,EdW 14: Wie wird Licht zu einem Lineal? (Leibniz Universität Hannover),Das Experiment der Woche an der Leibniz Universität Hannover: Wie wird Licht zu einem Lineal?,203,1704,unknown,https://i.ytimg.com/vi/CEK7K978qig/hqdefault.jpg,10,1
8ASE9BbNJu4,UCC0Eg0d1gGkpChelGo4-b4g,Leibniz Universität Hannover,2011-05-30T09:08:53Z,https://www.youtube.com/watch?v=8ASE9BbNJu4,EdW 13: Kann man Strömungen sichtbar machen? (Leibniz Universität Hannover),Das Experiment der Woche an der Leibniz Universität Hannover: Kann man Strömungen sichtbar machen?,192,3961,unknown,https://i.ytimg.com/vi/8ASE9BbNJu4/hqdefault.jpg,5,0
n75sfdFZnWA,UCC0Eg0d1gGkpChelGo4-b4g,Leibniz Universität Hannover,2011-05-30T09:06:30Z,https://www.youtube.com/watch?v=n75sfdFZnWA,EdW 12: Was haben Benard-Zellen mit Kochen zu tun? (Leibniz Universität Hannover),Das Experiment der Woche an der Leibniz Universität Hannover: Was haben Benard-Zellen mit Kochen zu tun?,189,3824,unknown,https://i.ytimg.com/vi/n75sfdFZnWA/hqdefault.jpg,16,1
1z_d9_e3vi8,UCC0Eg0d1gGkpChelGo4-b4g,Leibniz Universität Hannover,2011-05-30T09:04:05Z,https://www.youtube.com/watch?v=1z_d9_e3vi8,"EdW 11: Warum hilft es, Bewegung zu hören? (Leibniz Universität Hannover)","Das Experiment der Woche an der Leibniz Universität Hannover: Warum hilft es, Bewegung zu hören?",226,921,unknown,https://i.ytimg.com/vi/1z_d9_e3vi8/hqdefault.jpg,5,0
55wi8r_Kv4A,UCC0Eg0d1gGkpChelGo4-b4g,Leibniz Universität Hannover,2011-05-30T08:58:46Z,https://www.youtube.com/watch?v=55wi8r_Kv4A,EdW 10: Kann Glas den Strom leiten? (Leibniz Universität Hannover),Das Experiment der Woche an der Leibniz Universität Hannover: Kann Glas den Strom leiten?,189,8590,unknown,https://i.ytimg.com/vi/55wi8r_Kv4A/hqdefault.jpg,74,0
V39RJDzdM9o,UCC0Eg0d1gGkpChelGo4-b4g,Leibniz Universität Hannover,2011-05-30T08:56:00Z,https://www.youtube.com/watch?v=V39RJDzdM9o,EdW 09: Wie sehen Kameras in 3D? (Leibniz Universität Hannover),Das Experiment der Woche an der Leibniz Universität Hannover: Wie sehen Kameras in 3D?,160,1086,unknown,https://i.ytimg.com/vi/V39RJDzdM9o/hqdefault.jpg,6,1
-sUX008lCqY,UCC0Eg0d1gGkpChelGo4-b4g,Leibniz Universität Hannover,2011-05-30T08:46:59Z,https://www.youtube.com/watch?v=-sUX008lCqY,EdW 07: Kann ein Fahrrad allein fahren? (Leibniz Universität Hannover),Das Experiment der Woche an der Leibniz Universität Hannover: Kann ein Fahrrad allein fahren?,205,2064,unknown,https://i.ytimg.com/vi/-sUX008lCqY/hqdefault.jpg,15,2
ywsqS81ev-E,UCC0Eg0d1gGkpChelGo4-b4g,Leibniz Universität Hannover,2011-05-30T08:44:12Z,https://www.youtube.com/watch?v=ywsqS81ev-E,EdW 08: Was ist ein Steckdosentaifun? (Leibniz Universität Hannover),Das Experiment der Woche an der Leibniz Universität Hannover: Was ist ein Steckdosentaifun?,257,2895,unknown,https://i.ytimg.com/vi/ywsqS81ev-E/hqdefault.jpg,4,0
